itemID|rec_1|rec_2|rec_3|rec_4|rec_5
12|34549|49451|13026|38492|9448
45274|57674|38611|16911|39973|22567
10104|10543|61079|4401|34019|14434
41371|39477|72145|74057|12994|68409
14015|57674|38611|16911|39973|22567
28515|49451|13026|38492|9448|9631
70766|59311|61311|30836|32337|57962
1822|48036|13139|38998|36048|16085
56794|69753|24362|19623|53156|14336
60188|41743|64315|65373|4007|63764
62060|22197|71074|11645|34906|75288
31401|38611|16911|39973|22567|21735
6420|22104|241|32147|28706|63538
72855|49451|13026|38492|9448|9631
73378|37928|27010|60620|39446|51978
25049|37928|27010|60620|39446|51978
24603|39435|9175|64960|71077|76655
5737|57674|38611|16911|39973|22567
38980|65970|70186|11081|67837|36904
13382|43217|55929|57644|76657|72192
75121|17523|74234|77360|223|63362
39779|45788|17880|72775|7049|63312
14026|50470|4593|58813|40183|27836
9392|37928|27010|60620|39446|51978
77956|68629|49970|73816|30496|14363
70300|23780|29847|33614|16645|71321
77134|38611|16911|39973|22567|21735
75340|32262|28273|69452|60745|50877
51066|26966|21097|12541|67577|50454
67776|65104|1474|78805|1220|51634
53929|14330|56291|75787|61563|49684
22342|75358|4245|56057|78223|16105
41116|52698|23780|29847|33614|16645
60331|49451|13026|38492|9448|9631
65307|15264|50470|4593|58813|40183
50039|69265|42090|36106|21261|28944
42184|71877|12617|8786|28478|71548
76163|15264|50470|4593|58813|40183
2319|10818|35662|76712|16832|29490
62494|21031|46749|31915|51920|6436
31015|49451|13026|38492|9448|9631
21497|47034|1142|1252|14989|27150
53008|65782|61230|6417|62844|41287
39308|24782|66708|70314|14137|38074
4690|67758|65604|79058|61571|37882
19777|29222|59446|31484|40074|30492
10078|14575|43694|24205|7950|9884
65353|63118|66163|72151|32899|41600
58847|34549|49451|13026|38492|9448
61593|9074|52595|28630|44080|9389
18537|8220|31960|19807|19073|30031
73427|78195|29755|33966|29914|37901
7521|6685|22099|31701|5261|58298
71586|42090|36106|21261|28944|28772
13772|74184|25415|45752|61038|37778
33092|39192|51574|49834|50147|70608
74398|10139|13765|30634|16874|14425
74089|6685|22099|31701|5261|58298
57282|10543|61079|4401|34019|14434
38760|53879|73056|2121|44420|2518
15657|46379|51545|48730|36286|49392
17665|21357|46629|71319|142|20759
75251|61079|4401|34019|14434|45969
56282|28519|57109|31618|74007|7930
73973|45788|17880|72775|7049|63312
19994|22338|72124|46540|4246|53125
47098|72124|46540|4246|53125|63043
